Year,Date,Grant Amount,Project Category 1,Project Category 2
2015,2015-03-04,4000.0,Education/Competition,
2015,2015-05-06,50000.0,Tree Planting,
2015,2015-05-06,225000.0,Education/Competition,
2015,2015-07-08,337600.0,Public Health/Medicine,
2015,2015-09-02,400000.0,Emission Reduction,Diesel Reduction/Electrification
2016,2016-01-13,450000.0,Operational Funding,
2016,2016-01-13,78000.0,Education/Competition,
2016,2016-03-02,717246.0,Research,
2016,2016-03-02,180000.0,Emission Reduction,
2016,2016-03-02,50000.0,Emission Reduction,
2016,2016-05-04,24000.0,Diesel Reduction/Electrification,
2016,2016-07-13,4000.0,Education/Competition,
2016,2017-11-02,75900.0,Public Communication,
2017,2017-01-11,7500.0,Education/Competition,
2017,2017-01-11,65000.0,Education/Competition,
2018,2018-03-07,45000.0,Operational Funding,Software
2018,2018-03-07,300000.0,Public Communication,Emission Reduction
2018,2018-03-07,558242.0,Operational Funding,
2018,2018-05-02,66000.0,Operational Funding,
2018,2018-05-02,579703.0,Operational Funding,
2018,2018-11-07,546017.0,Operational Funding,
2018,2018-11-07,60000.0,Operational Funding,
2019,2018-01-09,24765.0,Operational Funding,
2019,2018-01-09,15000.0,Operational Funding,Public Communication
2019,2019-03-06,120000.0,Operational Funding,
2019,2019-05-01,150000.0,Emission Reduction,
2019,2019-07-17,300000.0,Public Health/Medicine,
2019,2019-07-17,90000.0,Tree Planting,
2019,2019-11-06,627100.0,Emission Reduction,
2020,2020-01-10,25000.0,Diesel Reduction/Electrification,
2020,2020-01-10,9000.0,Education/Competition,
2020,2020-01-10,7500.0,Education/Competition,
2020,2020-03-04,592822.0,Operational Funding,
2020,2020-03-04,384000.0,Operational Funding,
2020,2020-09-02,500000.0,Operational Funding,
2020,2020-09-02,210000.0,Operational Funding,Software
2020,2020-09-02,59560.0,Tree Planting,
2020,2020-09-02,98000.0,Tree Planting,
2021,2021-03-03,578684.0,Operational Funding,
2021,2021-05-05,200000.0,Public Communication,
2022,2022-05-04,30000.0,Research,
2022,2022-11-02,539125.0,Operational Funding,
2020,2020-07-15,99995.0,Tree Planting,Education/Competition
2020,,15000.0,Education/Competition,
2020,,98000.0,Tree Planting,
2020,,500000.0,Operational Funding,
2020,2020-03-04,55000.0,Operational Funding,
2020,2020-01-10,75000.0,Operational Funding,Public Communication
2020,2020-09-02,340554.0,Operational Funding,Research
2020,,548725.0,Operational Funding,Software
2021,,200000.0,Public Communication,
2021,,9941.0,Research,
2021,,69956.0,Research,
2023,2023-09-06,9000.0,Education/Competition,
2023,2023-09-06,750000.0,Diesel Reduction/Electrification,
2023,2023-09-06,700000.0,Diesel Reduction/Electrification,
2023,2023-09-06,46000.0,Tree Planting,
2023,2023-09-06,46000.0,Tree Planting,
2023,2023-09-06,748339.0,Diesel Reduction/Electrification,
2024,2024-01-04,46000.0,Tree Planting,
2024,2024-01-04,46000.0,Tree Planting,
2024,2024-01-04,23094.0,Diesel Reduction/Electrification,
2024,2024-01-04,43272.0,Diesel Reduction/Electrification,
2024,2024-01-04,75000.0,Diesel Reduction/Electrification,
2024,2024-01-04,800000.0,Diesel Reduction/Electrification,
2024,2024-01-04,186789.0,Diesel Reduction/Electrification,
2024,2024-01-04,997450.0,Emission Reduction,
2024,2024-01-04,1000000.0,Emission Reduction,
2024,2024-01-04,500000.0,Tree Planting,Emission Reduction
