Year,Grant Amount,Project Category 1,Project Category 2
2015,"$4,000 ", Education/Competition,
2015,"$50,000 ",Tree Planting,
2015,"$225,000 ",Education/Competition,
2015,"$337,600 ",Public Health/Medicine,
2015,"$400,000 ",Emission Reduction,Electric Vehicles/Electrification
2016,"$450,000 ",Operational Funding,
2016,"$78,000 ",Education/Competition,
2016,"$717,246 ",Research,
2016,"$180,000 ",Emission Reduction,
2016,"50,000",Emission Reduction,
2016,"24,000",Diesel Reduction ,
2016,"4,000",Education/Competition,
2016,"75,900",Education/Competition,Public Communications
2017,"$7,500 ",Education/Competition,
2017,"$65,000 ",Education/Competition,
2018,"$45,000 ",Operational Funding,Software
2018,"$300,000 ",Education/Competition,Emission Reduction
2018,"$558,242 ",Operational Funding,
2018,"$66,000 ",Operational Funding,
2018,"$579,703 ",Operational Funding,
2018,"$546,017 ",Operational Funding,
2018,"$60,000 ",Operational Funding ,
2019,"$24,765 ",Operational Funding,
2019,"$15,000 ",Operational Funding,Research
2019,"$120,000 ",Operational Funding,
2019,"$150,000 ",Emission Reduction,
2019,"$300,000 ",Public Health/Medicine,
2019,"$90,000 ",Tree Planting,
2019,"$627,100 ",Emission Reduction,
2020,"$25,000 ",Diesel Reduction ,
2020,"$9,000 ",Education/Competition ,
2020,"$7,500 ",Education/Competition,
2020,"$592,822 ",Operational Funding,
2020,"$384,000 ",Operational Funding ,
2020,"$500,000 ",Operational Funding,
2020,"$210,000 ",Operational Funding,Software
2020,"$59,560 ",Tree Planting,
2020,"$98,000 ",Tree Planting,
2021,"$578,684 ",Operational Funding,
2021,"$200,000 ",Operational Funding,Public Communications
2022,"$30,000 ",Research,
2022,"$539,125 ",Operational Funding,
2020,"$99,995 ",Tree Planting,Education/Competition
2020,"$15,000 ",Education/Competition,
2020,"$98,000 ",Tree Planting,
2020,"$500,000 ",Operational Funding,
2020,"$55,000 ",Operational Funding,
2020,"$75,000 ",Operational Funding,Public Communications
2020,"$340,554 ",Operational Funding,Research
2020,"$548,725 ",Operational Funding,Software
2021,"$200,000 ",Public Communication,
2021,"$9,941 ",Research,
2021,"$69,956 ",Research,
2023,"$9,000 ",Education/Competition,
2023,"$750,000 ",Electric Vehicles/Electrification,Diesel Reduction
2023,"$700,000 ",Electric Vehicles/Electrification,Diesel Reduction
2023,"$46,000 ",Tree Planting,
2023,"$46,000 ",Tree Planting,
2023,"$748,339 ",Electric Vehicles/Electrification,Diesel Reduction
2024,"$46,000 ",Tree Planting,
2024,"$46,000 ",Tree Planting,
2024," $23,094",Electric Vehicles/Electrification,Diesel Reduction
2024,"$43,272 ",Electric Vehicles/Electrification,Diesel Reduction
2024,"$75,000 ",Electric Vehicles/Electrification,Diesel Reduction
2024,"$800,000 ",Electric Vehicles/Electrification,Diesel Reduction
2024,"$186,789 ",Electric Vehicles/Electrification,Diesel Reduction
2024,"$997,450 ",Emission Reduction,
2024,"$1,000,000 ",Emission Reduction,
2024,"$500,000 ",Tree Planting,Emission Reduction
,,,
,,,
